APN,SitusAddress
13-1176-7-2,1061 53RD ST OAKLAND 94608
13-1175-8-2,1011 53RD ST OAKLAND 94608
13-1175-9-2,1017 53RD ST OAKLAND 94608
13-1175-11-2,1023 53RD ST OAKLAND 94608
13-1170-6-2,4625 MARKET ST OAKLAND 94608
13-1169-8,872 47TH ST OAKLAND 94608
13-1169-21,891 52ND ST OAKLAND 94608
13-1168-25,820 47TH ST OAKLAND 94608
13-1168-1,847 52ND ST OAKLAND 94608
13-1168-2,843 52ND ST OAKLAND 94608
13-1168-34,5116 GENOA ST OAKLAND 94608
13-1167-19,866 46TH ST OAKLAND 94608
13-1167-37,877 47TH ST OAKLAND 94608
13-1167-6, WEST ST OAKLAND 94608
13-1167-47,837 47TH ST OAKLAND 94608
13-1167-29,4620 MARKET ST OAKLAND 94608
13-1166-2,4537 WEST ST OAKLAND 94608
13-1165-28,705 46TH ST OAKLAND 94609
13-1164-12,716 46TH ST OAKLAND 94609
13-1163-20,4718 WEST ST OAKLAND 94608
13-1163-29-1,825 51ST ST OAKLAND 94608
13-1163-19,4714 WEST ST OAKLAND 94608
13-1163-27,835 51ST ST OAKLAND 94608
13-1161-8-1,570 47TH ST OAKLAND 94609
13-1160-9,550 46TH ST OAKLAND 94609
13-1160-3,4617 SHATTUCK AVE OAKLAND 94609
13-1159-44,545 46TH ST OAKLAND 94609
13-1159-42-3,561 46TH ST OAKLAND 94609
13-1152-11,458 49TH ST OAKLAND 94609
13-1152-12,462 49TH ST OAKLAND 94609
13-1151-16,494 48TH ST OAKLAND 94609
13-1149-19-1,448 48TH ST OAKLAND 94609
